index;parcel_id;product_type;date;max_value;min_value;mean_value;std_value;count_value;sum_value;source;doy
44;135939;vitality;2018-09-21;0.285952329636;0.15279148519;0.203118869119;0.024004207499;291;59.1075909138;sentinel2;264
45;135939;vitality;2018-09-19;0.238041400909;0.16762766242;0.204330616395;0.0188604045626;75;15.3247962296;landsat8;262
46;135939;vitality;2018-09-18;0.220431521535;0.138137683272;0.186319248015;0.011942569898;291;54.2189011723;sentinel2;261
47;135939;vitality;2018-09-16;0.259941130877;0.133296087384;0.197622461673;0.0282837614777;291;57.5081363469;sentinel2;259
48;135939;vitality;2018-09-13;0.232092112303;0.135978192091;0.190613928837;0.0218176028952;291;55.4686532915;sentinel2;256
49;135939;vitality;2018-09-11;0.262339562178;0.161019027233;0.204853429008;0.0155225114992;291;59.6123478413;sentinel2;254
50;135939;vitality;2018-09-10;0.271750122309;0.223122224212;0.236531704068;0.0159564934856;75;17.7398778051;landsat8;253
51;135939;vitality;2018-09-06;0.301372587681;0.154502674937;0.225188818994;0.0344706452938;291;65.5299463272;sentinel2;249
52;135939;vitality;2018-09-03;0.263557374477;0.219314903021;0.238734782934;0.0142755332193;75;17.9051087201;landsat8;246
53;135939;vitality;2018-09-03;0.273794442415;0.157684221864;0.21745171421;0.0280165789407;291;63.278448835;sentinel2;246
54;135939;vitality;2018-09-01;0.312164276838;0.180559411645;0.249358068832;0.023944849327;291;72.56319803;sentinel2;244
55;135939;vitality;2018-08-29;0.285262852907;0.183792307973;0.231013022389;0.02134626636;291;67.2247895151;sentinel2;241
56;135939;vitality;2018-08-27;0.305719226599;0.164004281163;0.240575725475;0.0327844885963;291;70.0075361133;sentinel2;239
57;135939;vitality;2018-08-24;0.274427324533;0.172744050622;0.226299609413;0.0264439732314;291;65.8531863391;sentinel2;236
58;135939;vitality;2018-08-22;0.346841812134;0.207836598158;0.262777186239;0.028072232138;291;76.4681611955;sentinel2;234
59;135939;vitality;2018-08-19;0.305671781301;0.205532118678;0.242869225206;0.0243068342564;291;70.6749445349;sentinel2;231
60;135939;vitality;2018-08-18;0.271566957235;0.192658647895;0.24791902562;0.0206029731568;75;18.5939269215;landsat8;230
61;135939;vitality;2018-08-17;0.318013429642;0.17000991106;0.251719924695;0.0431622141197;291;73.2504980862;sentinel2;229
62;135939;vitality;2018-08-14;0.298809915781;0.181758105755;0.256462548811;0.0353605161702;291;74.6306017041;sentinel2;226
63;135939;vitality;2018-08-12;0.458856940269;0.237625986338;0.366751755636;0.0619806161225;291;106.72476089;sentinel2;224
64;135939;vitality;2018-08-09;0.298055142164;0.24447491765;0.265670201182;0.0163293450034;75;19.9252650887;landsat8;221
65;135939;vitality;2018-08-09;0.318850070238;0.209939390421;0.272665233239;0.0284045743542;291;79.3455828726;sentinel2;221
66;135939;vitality;2018-08-07;0.340283125639;0.184498220682;0.274112576932;0.0454397586221;291;79.7667598873;sentinel2;219
67;135939;vitality;2018-08-02;0.331794559956;0.252903908491;0.297594283024;0.0212219924999;75;22.3195712268;landsat8;214
68;135939;vitality;2018-08-02;0.391685456038;0.245011255145;0.297970393218;0.036713537257;291;86.7093844265;sentinel2;214
69;135939;vitality;2018-07-30;0.416547328234;0.283386409283;0.345834540645;0.0350442019132;291;100.637851328;sentinel2;211
70;135939;vitality;2018-07-28;0.365222930908;0.193121820688;0.286341369715;0.0510289351299;291;83.3253385872;sentinel2;209
71;135939;vitality;2018-07-25;0.338742643595;0.210118949413;0.287541358792;0.0367757732248;291;83.6745354086;sentinel2;206
72;135939;vitality;2018-07-20;0.351928412914;0.200150161982;0.270247797735;0.0413181412496;291;78.6421091408;sentinel2;201
73;135939;vitality;2018-07-18;0.355124086142;0.188288658857;0.271461787963;0.0495003488229;291;78.9953802973;sentinel2;199
74;135939;vitality;2018-07-17;0.30207619071;0.220503821969;0.263430306117;0.0232478297496;75;19.7572729588;landsat8;198
75;135939;vitality;2018-07-15;0.328598827124;0.190067499876;0.266685742283;0.0371909440776;291;77.6055510044;sentinel2;196
76;135939;vitality;2018-07-13;0.399380922318;0.240966618061;0.291490908802;0.0384399721961;291;84.8238544613;sentinel2;194
77;135939;vitality;2018-07-10;0.344143807888;0.203819453716;0.267565961966;0.0327895970866;291;77.861694932;sentinel2;191
78;135939;vitality;2018-07-08;0.325732976198;0.244220346212;0.280381404758;0.0229707895185;75;21.0286053568;landsat8;189
79;135939;vitality;2018-07-08;0.340036779642;0.172665819526;0.24117567065;0.0374673072596;291;70.1821201593;sentinel2;189
80;135939;vitality;2018-07-05;0.294165968895;0.167698338628;0.226902799662;0.0283503688058;291;66.0287147015;sentinel2;186
81;135939;vitality;2018-07-03;0.332529753447;0.186616227031;0.237612211469;0.0342840382815;291;69.1451535374;sentinel2;184
82;135939;vitality;2018-07-01;0.306588768959;0.176926001906;0.238736437559;0.0333078150678;75;17.9052328169;landsat8;182
83;135939;vitality;2018-06-30;0.29229837656;0.176312983036;0.216348527019;0.0293985689113;291;62.9574213624;sentinel2;181
84;135939;vitality;2018-06-23;0.274510413408;0.170410007238;0.203640528151;0.0224686341194;291;59.259393692;sentinel2;174
85;135939;vitality;2018-06-22;0.262372434139;0.183020889759;0.215749477545;0.0209570164236;75;16.1812108159;landsat8;173
86;135939;vitality;2018-06-20;0.241645336151;0.138565137982;0.172314947618;0.020159121721;291;50.1436497569;sentinel2;171
87;135939;vitality;2018-06-18;0.319369345903;0.188726902008;0.231147780605;0.0292793045415;291;67.264004156;sentinel2;169
88;135939;vitality;2018-06-15;0.258711487055;0.131164744496;0.197998897433;0.0330093659985;75;14.8499173075;landsat8;166
89;135939;vitality;2018-06-13;0.263269662857;0.13497762382;0.176623760886;0.0272225169049;291;51.3975144178;sentinel2;164
90;135939;vitality;2018-06-10;0.245106086135;0.113118924201;0.148566795404;0.0248065799666;291;43.2329374626;sentinel2;161
91;135939;vitality;2018-06-08;0.211982920766;0.106703348458;0.134551446206;0.0199268809396;291;39.1544708461;sentinel2;159
92;135939;vitality;2018-06-06;0.299245923758;0.193208187819;0.245649231275;0.0286966795833;75;18.4236923456;landsat8;157
93;135939;vitality;2018-06-05;0.209792241454;0.121211968362;0.148176169247;0.0180833154597;291;43.1192652509;sentinel2;156
94;135939;vitality;2018-06-03;0.266059756279;0.13721075654;0.181878624093;0.0325362747439;291;52.9266796112;sentinel2;154
95;135939;vitality;2018-05-31;0.249305590987;0.134450525045;0.177918654076;0.0268386057267;291;51.7743283361;sentinel2;151
96;135939;vitality;2018-05-30;0.24982047081;0.134723067284;0.196878125469;0.030913951315;75;14.7658594102;landsat8;150
97;135939;vitality;2018-05-29;0.281466692686;0.138181790709;0.178695227119;0.0268065660934;291;52.0003110915;sentinel2;149
98;135939;vitality;2018-05-21;0.244322016835;0.173910886049;0.222238624493;0.0213816097012;75;16.667896837;landsat8;141
99;135939;vitality;2018-05-21;0.224272787571;0.0968759059906;0.13702204867;0.0254375102715;291;39.873416163;sentinel2;141
